所属区域,小区名称,价格,房屋面积,户型
"精选          /
朝阳-[高碑店, 甘露园]-朝阳无限
/
        59.61㎡
        /北        /
          1室1厅1卫        
/
          低楼层                        （21层）",整租·朝阳无限 1室1厅 北,6690 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"精选          /
丰台-方庄-芳星园二区
/
        42.24㎡
        /东南        /
          1室1厅1卫        
/
          中楼层                        （14层）",整租·芳星园二区 1室1厅 东南,5490 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"精选          /
朝阳-常营-常楹公元自由派
/
        37.00㎡
        /西        /
          1室1厅1卫        
/
          高楼层                        （23层）",整租·常楹公元自由派 1室1厅 西,4960 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"东城-安贞-小黄庄一区
/
        51.00㎡
        /南        /
          1室1厅1卫        
/
          高楼层                        （12层）",整租·小黄庄一区 1室1厅 南,7500 元/月,,"官方核验
近地铁
集中供暖"
"精选          /
朝阳-双井-CBD总部公寓一期
/
        73.26㎡
        /东        /
          1室1厅1卫        
/
          高楼层                        （9层）",整租·CBD总部公寓一期 1室1厅 东,9260 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"海淀-马甸-月季园
/
        46.00㎡
        /西南        /
          1室1厅1卫        
/
          低楼层                        （9层）",整租·月季园 1室1厅 西南,6400 元/月,,"官方核验
近地铁
精装
集中供暖"
"朝阳-朝阳公园-棕榈泉国际公寓
/
        220.00㎡
        /南 北        /
          3室2厅2卫        
/
          低楼层                        （27层）",整租·棕榈泉国际公寓 3室2厅 南/北,32000 元/月,,"官方核验
近地铁
精装
集中供暖
双卫生间
随时看房"
"大兴-高米店-华远西红世商业
/
        67.00㎡
        /南 西        /
          4房间1卫        
/
          高楼层                        （10层）",整租·华远西红世商业 4房间 南/西,5000 元/月,,"官方核验
精装
集中供暖"
"海淀-西二旗-博雅德园
/
        137.00㎡
        /南 北        /
          3室1厅2卫        
/
          高楼层                        （14层）",整租·博雅德园 3室1厅 南/北,12000 元/月,,"官方核验
精装
集中供暖
双卫生间
随时看房"
"通州-通州其它-首开万科台湖新城V公馆
/
        51.00㎡
        /西        /
          2室1厅2卫        
/
          中楼层                        （10层）",整租·首开万科台湖新城V公馆 2室1厅 西,5800 元/月,,"官方核验
业主自荐
精装
集中供暖
双卫生间"
"密云-密云镇-海阔水岸花墅
/
        250.36㎡
        /东 西        /
          4室3厅3卫        
/
          低楼层                        （4层）",整租·海阔水岸花墅 4室3厅 复式 东/西,8000 元/月,,"官方核验
精装"
"通州-九棵树(家乐福)-龙湖蔚澜香醍
/
        169.91㎡
        /南 北        /
          3室2厅2卫        
/
          中楼层                        （14层）",整租·龙湖蔚澜香醍 3室2厅 南/北,12300 元/月,,"官方核验
精装
集中供暖
双卫生间"
"精选          /
朝阳-望京-融科橄榄城三期
/
        94.38㎡
        /南        /
          2室1厅1卫        
/
          中楼层                        （27层）",整租·融科橄榄城三期 2室1厅 南,12930 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"西城-菜户营-政泰家园
/
        59.10㎡
        /西        /
          1室1厅1卫        
/
          高楼层                        （22层）",整租·政泰家园 1室1厅 西,5300 元/月,,"官方核验
精装"
"朝阳-欢乐谷-北京华侨城1号院
/
        124.00㎡
        /南 北        /
          2室1厅2卫        
/
          低楼层                        （33层）",整租·北京华侨城1号院 2室1厅 南/北,10000 元/月,,"官方核验
近地铁
集中供暖
双卫生间
随时看房"
"朝阳-欢乐谷-北京华侨城2号院
/
        138.08㎡
        /南 北        /
          3室2厅2卫        
/
          低楼层                        （14层）",整租·北京华侨城2号院 3室2厅 南/北,11000 元/月,,"官方核验
近地铁
集中供暖
双卫生间"
"朝阳-欢乐谷-世纪东方城
/
        103.00㎡
        /南        /
          2室1厅2卫        
/
          高楼层                        （14层）",整租·世纪东方城 2室1厅 南,8500 元/月,,"官方核验
近地铁
精装
集中供暖
双卫生间
随时看房"
"昌平-回龙观-金域华府二期
/
        79.97㎡
        /南 北        /
          2室1厅1卫        
/
          低楼层                        （28层）",整租·金域华府二期 2室1厅 南/北,8200 元/月,,"官方核验
近地铁
精装
集中供暖
随时看房"
"海淀-西北旺-西山壹号院北区
/
        430.75㎡
        /南 北        /
          5室3厅4卫        
/
          低楼层                        （6层）",整租·西山壹号院北区 5室3厅 南/北,55000 元/月,,"官方核验
精装
集中供暖
随时看房"
"海淀-西山-西山美墅馆B区
/
        150.00㎡
        /南 北        /
          3室2厅2卫        
/
          高楼层                        （4层）",整租·西山美墅馆B区 3室2厅 南/北,18000 元/月,,"官方核验
集中供暖
双卫生间
随时看房"
"海淀-马连洼-菊园
/
        82.33㎡
        /东 南 北        /
          3室1厅1卫        
/
          中楼层                        （6层）",整租·菊园 3室1厅 东/南/北,8500 元/月,,"官方核验
精装
集中供暖"
"西城-阜成门-展览路
/
        65.20㎡
        /东 西        /
          2室1厅1卫        
/
          中楼层                        （16层）",整租·展览路 2室1厅 东/西,8000 元/月,,"官方核验
近地铁
集中供暖
随时看房"
"精选          /
石景山-鲁谷-鲁谷路74号院
/
        36.17㎡
        /南        /
          1室1厅1卫        
/
          高楼层                        （6层）",整租·鲁谷路74号院 1室1厅 南,4990 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"西城-白纸坊-建功北里
/
        59.84㎡
        /东        /
          1室1厅1卫        
/
          低楼层                        （6层）",整租·建功北里 1室1厅 东,5900 元/月,,"官方核验
集中供暖"
"精选          /
朝阳-劲松-农光里
/
        59.73㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·农光里 2室1厅 南,6590 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"丰台-方庄-芳星园二区
/
        64.00㎡
        /东 南        /
          2室1厅1卫        
/
          高楼层                        （25层）",整租·芳星园二区 2室1厅 东/南,7000 元/月,,"官方核验
精装
集中供暖"
"怀柔-怀柔-顶秀美泉小镇A区
/
        106.00㎡
        /南 北        /
          2室2厅2卫        
/
          低楼层                        （5层）",整租·顶秀美泉小镇A区 2室2厅 南/北,3500 元/月,,"官方核验
精装
集中供暖
双卫生间"
"亦庄开发区-亦庄开发区其它-观海苑
/
        90.00㎡
        /东 西        /
          2室1厅1卫        
/
          低楼层                        （27层）",整租·观海苑 2室1厅 东/西,5200 元/月,,"官方核验
精装
集中供暖
随时看房"
"通州-北关-天赐良园西三期
/
        167.00㎡
        /南 北        /
          3室2厅2卫        
/
          中楼层                        （6层）",整租·天赐良园西三期 3室2厅 跃层 南/北,9500 元/月,,"官方核验
近地铁
精装
集中供暖
双卫生间"
"朝阳-亚运村-保利金泉
/
        98.00㎡
        /东        /
          2室1厅1卫        
/
          低楼层                        （30层）",整租·保利金泉 2室1厅 东,10500 元/月,,"官方核验
近地铁
集中供暖"
"精选          /
丰台-右安门外-玉林东里一区
/
        47.00㎡
        /东南        /
          1室1厅1卫        
/
          中楼层                        （6层）",整租·玉林东里一区 1室1厅 东南,5660 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"精选          /
朝阳-双井-广渠门外大街路北区
/
        40.28㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·广渠门外大街路北区 2室1厅 南,5500 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"海淀-五棵松-紫金长安
/
        127.46㎡
        /东南 西        /
          3室2厅2卫        
/
          低楼层                        （12层）",整租·紫金长安 3室2厅 东南/西,18000 元/月,,"官方核验
集中供暖
双卫生间"
"精选          /
朝阳-燕莎-霞光里30号院
/
        39.78㎡
        /南        /
          1室1厅1卫        
/
          低楼层                        （6层）",整租·霞光里30号院 1室1厅 南,6560 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"朝阳-双井-双井黄木厂6号院
/
        64.09㎡
        /南 北        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·双井黄木厂6号院 2室1厅 南/北,6400 元/月,,"官方核验
精装
集中供暖
随时看房"
"西城-六铺炕-德胜置业
/
        98.00㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （20层）",整租·德胜置业 2室1厅 南,15000 元/月,,"官方核验
集中供暖"
"昌平-回龙观-首开国风美唐二期
/
        81.78㎡
        /东        /
          2室1厅1卫        
/
          低楼层                        （21层）",整租·首开国风美唐二期 2室1厅 东,8000 元/月,,"官方核验
业主自荐
精装
集中供暖"
"石景山-石景山其它-绿城西府海棠
/
        90.00㎡
        /南 北        /
          3室1厅1卫        
/
          低楼层                        （8层）",整租·绿城西府海棠 3室1厅 南/北,6000 元/月,,"官方核验
精装
集中供暖"
"海淀-四季青-美丽星苑
/
        86.00㎡
        /南 北        /
          2室1厅1卫        
/
          低楼层                        （10层）",整租·美丽星苑 2室1厅 南/北,10000 元/月,,"官方核验
业主自荐"
"精选          /
海淀-军博-铁东小区
/
        50.50㎡
        /南        /
          2室1厅1卫        
/
          中楼层                        （6层）",整租·铁东小区 2室1厅 南,7530 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"朝阳-西坝河-西坝河东里
/
        64.00㎡
        /东南        /
          2室1厅1卫        
/
          高楼层                        （18层）",整租·西坝河东里 2室1厅 东南,8400 元/月,,"官方核验
近地铁
精装
集中供暖"
"精选          /
朝阳-常营-常楹公元自由派
/
        37.29㎡
        /西        /
          1室1厅1卫        
/
          中楼层                        （23层）",整租·常楹公元自由派 1室1厅 西,4890 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"精选          /
朝阳-十里堡-十里堡北里
/
        58.71㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·十里堡北里 2室1厅 南,7690 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"精选          /
西城-马甸-裕中西里
/
        59.90㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·裕中西里 2室1厅 南,8230 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"通州-通州其它-台湖金茂悦
/
        89.00㎡
        /南 北        /
          3室1厅1卫        
/
          高楼层                        （18层）",整租·台湖金茂悦 3室1厅 南/北,6500 元/月,,"官方核验
精装
集中供暖"
"精选          /
海淀-五棵松-永金里小区
/
        80.01㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·永金里小区 2室1厅 南,7190 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"精选          /
朝阳-高碑店-富华家园
/
        74.27㎡
        /东        /
          1室1厅1卫        
/
          低楼层                        （22层）",整租·富华家园 1室1厅 东,6390 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"精选          /
朝阳-大望路-后现代城D区
/
        71.72㎡
        /北        /
          2室1厅1卫        
/
          低楼层                        （28层）",整租·后现代城D区 2室1厅 北,9490 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"海淀-苏州桥-万泉河62号院
/
        127.00㎡
        /南        /
          3室1厅2卫        
/
          高楼层                        （16层）",整租·万泉河62号院 3室1厅 南,18000 元/月,,"官方核验
近地铁
精装
集中供暖
双卫生间"
"精选          /
海淀-玉泉路-金隅瑞和园
/
        45.27㎡
        /西        /
          1室1厅1卫        
/
          低楼层                        （16层）",整租·金隅瑞和园 1室1厅 西,5490 元/月,,"公寓
精装
押一付一
随时看房"
"朝阳-望京-东洲家园
/
        89.00㎡
        /南 北        /
          2室1厅1卫        
/
          中楼层                        （21层）",整租·东洲家园 2室1厅 南/北,6500 元/月,,"官方核验
业主自荐
精装
集中供暖"
"东城-交道口-中剪子巷
/
        50.00㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （5层）",整租·中剪子巷 2室1厅 南,9600 元/月,,"官方核验
近地铁
集中供暖
随时看房"
"海淀-西三旗-文晟家园
/
        90.00㎡
        /南 北        /
          2室1厅1卫        
/
          高楼层                        （21层）",整租·文晟家园 2室1厅 南/北,7700 元/月,,"官方核验
近地铁
精装
集中供暖
随时看房"
"东城-工体-十字坡东里
/
        38.25㎡
        /南        /
          1室1厅1卫        
/
          高楼层                        （6层）",整租·十字坡东里 1室1厅 南,6000 元/月,,"官方核验
业主自荐
近地铁
精装
集中供暖
随时看房"
"精选          /
大兴-黄村火车站-车站中里
/
        71.74㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·车站中里 2室1厅 南,4490 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"顺义-顺义其它-临河悦园5号院 
/
        76.00㎡
        /南        /
          2室1厅1卫        
/
          中楼层                        （14层）",整租·临河悦园5号院  2室1厅 南,2400 元/月,,"官方核验
精装
集中供暖
随时看房"
"精选          /
石景山-鲁谷-远洋山水
/
        57.00㎡
        /西        /
          1室1厅1卫        
/
          中楼层                        （25层）",整租·远洋山水 1室1厅 西,6060 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"通州-潞苑-珠江丽景家园
/
        79.22㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （10层）",整租·珠江丽景家园 2室1厅 南,4300 元/月,,"官方核验
业主自荐
精装
集中供暖"
"海淀-小西天-五月华庭
/
        38.10㎡
        /南        /
          1室1厅1卫        
/
          中楼层                        （12层）",整租·五月华庭 1室1厅 南,6000 元/月,,"官方核验
近地铁
精装"
"昌平-西三旗-中东路121号院二区
/
        124.00㎡
        /南 北        /
          3室1厅2卫        
/
          低楼层                        （18层）",整租·中东路121号院二区 3室1厅 南/北,8300 元/月,,"官方核验
精装
双卫生间"
"精选          /
朝阳-常营-首开畅心园
/
        51.22㎡
        /南        /
          1室1厅1卫        
/
          高楼层                        （28层）",整租·首开畅心园 1室1厅 南,5390 元/月,,"公寓
近地铁
精装
押一付一
随时看房"
"精选          /
朝阳-北苑-旭辉奥都
/
        88.49㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （27层）",整租·旭辉奥都 2室1厅 南,7890 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"海淀-五棵松-紫金长安
/
        127.46㎡
        /东南 西        /
          3室2厅2卫        
/
          低楼层                        （12层）",整租·紫金长安 3室2厅 东南/西,18000 元/月,,"官方核验
集中供暖
双卫生间"
"朝阳-双井-双井黄木厂6号院
/
        64.09㎡
        /南 北        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·双井黄木厂6号院 2室1厅 南/北,6400 元/月,,"官方核验
精装
集中供暖
随时看房"
"西城-六铺炕-德胜置业
/
        98.00㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （20层）",整租·德胜置业 2室1厅 南,15000 元/月,,"官方核验
集中供暖"
"昌平-回龙观-首开国风美唐二期
/
        81.78㎡
        /东        /
          2室1厅1卫        
/
          低楼层                        （21层）",整租·首开国风美唐二期 2室1厅 东,8000 元/月,,"官方核验
业主自荐
精装
集中供暖"
"石景山-石景山其它-绿城西府海棠
/
        90.00㎡
        /南 北        /
          3室1厅1卫        
/
          低楼层                        （8层）",整租·绿城西府海棠 3室1厅 南/北,6000 元/月,,"官方核验
精装
集中供暖"
"精选          /
昌平-立水桥-中东路58号院
/
        80.00㎡
        /南 北        /
          3室1厅1卫        
/
          低楼层                        （20层）",整租·中东路58号院 3室1厅 南/北,6500 元/月,,"公寓
月租
近地铁
精装
集中供暖
押一付一
随时看房"
"精选          /
朝阳-中央别墅区-康营家园四期A区
/
        92.31㎡
        /南        /
          2室1厅1卫        
/
          中楼层                        （21层）",整租·康营家园四期A区 2室1厅 南,5400 元/月,,"公寓
月租
精装
集中供暖"
"精选          /
朝阳-朝青-大悦城公寓
/
        88.42㎡
        /北        /
          1室1厅1卫        
/
          低楼层                        （28层）",整租·大悦城公寓 1室1厅 北,11500 元/月,,"公寓
近地铁
精装
集中供暖
随时看房"
"海淀-四季青-美丽星苑
/
        86.00㎡
        /南 北        /
          2室1厅1卫        
/
          低楼层                        （10层）",整租·美丽星苑 2室1厅 南/北,10000 元/月,,"官方核验
业主自荐"
"朝阳-西坝河-西坝河东里
/
        64.00㎡
        /东南        /
          2室1厅1卫        
/
          高楼层                        （18层）",整租·西坝河东里 2室1厅 东南,8400 元/月,,"官方核验
近地铁
精装
集中供暖"
"精选          /
朝阳-朝青-大悦城公寓
/
        112.97㎡
        /南        /
          1室1厅1卫        
/
          低楼层                        （28层）",整租·大悦城公寓 1室1厅 南,14500 元/月,,"公寓
近地铁
精装
随时看房"
"通州-通州其它-台湖金茂悦
/
        89.00㎡
        /南 北        /
          3室1厅1卫        
/
          高楼层                        （18层）",整租·台湖金茂悦 3室1厅 南/北,6500 元/月,,"官方核验
精装
集中供暖"
"精选          /
东城-东直门-东直门北大街
/
        53.61㎡
        /东        /
          1室1厅1卫        
/
          高楼层                        （14层）",整租·东直门北大街 1室1厅 东,7590 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"海淀-苏州桥-万泉河62号院
/
        127.00㎡
        /南        /
          3室1厅2卫        
/
          高楼层                        （16层）",整租·万泉河62号院 3室1厅 南,18000 元/月,,"官方核验
近地铁
精装
集中供暖
双卫生间"
"精选          /
海淀-厂洼-西三环北路19号院
/
        53.70㎡
        /东        /
          2室1厅1卫        
/
          低楼层                        （6层）",整租·西三环北路19号院 2室1厅 东,8830 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"精选          /
朝阳-百子湾-百子湾家园一区
/
        62.26㎡
        /北        /
          1室1厅1卫        
/
          高楼层                        （21层）",整租·百子湾家园一区 1室1厅 北,6690 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"朝阳-望京-东洲家园
/
        89.00㎡
        /南 北        /
          2室1厅1卫        
/
          中楼层                        （21层）",整租·东洲家园 2室1厅 南/北,6500 元/月,,"官方核验
业主自荐
精装
集中供暖"
"东城-交道口-中剪子巷
/
        50.00㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （5层）",整租·中剪子巷 2室1厅 南,9600 元/月,,"官方核验
近地铁
集中供暖
随时看房"
"精选          /
朝阳-望京-夏都盈座
/
        58.43㎡
        /西        /
          1室1厅1卫        
/
          中楼层                        （22层）",整租·夏都盈座 1室1厅 西,8090 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"精选          /
顺义-顺义其它-炫立方
/
        42.37㎡
        /西        /
          1室1厅1卫        
/
          低楼层                        （15层）",整租·炫立方 1室1厅 西,3490 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"海淀-西三旗-文晟家园
/
        90.00㎡
        /南 北        /
          2室1厅1卫        
/
          高楼层                        （21层）",整租·文晟家园 2室1厅 南/北,7700 元/月,,"官方核验
近地铁
精装
集中供暖
随时看房"
"东城-工体-十字坡东里
/
        38.25㎡
        /南        /
          1室1厅1卫        
/
          高楼层                        （6层）",整租·十字坡东里 1室1厅 南,6000 元/月,,"官方核验
业主自荐
近地铁
精装
集中供暖
随时看房"
"顺义-顺义其它-临河悦园5号院 
/
        76.00㎡
        /南        /
          2室1厅1卫        
/
          中楼层                        （14层）",整租·临河悦园5号院  2室1厅 南,2400 元/月,,"官方核验
精装
集中供暖
随时看房"
"通州-潞苑-珠江丽景家园
/
        79.22㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （10层）",整租·珠江丽景家园 2室1厅 南,4300 元/月,,"官方核验
业主自荐
精装
集中供暖"
"精选          /
海淀-甘家口-阜成路8号院
/
        38.40㎡
        /南        /
          1室1厅1卫        
/
          高楼层                        （6层）",整租·阜成路8号院 1室1厅 南,7030 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"海淀-小西天-五月华庭
/
        38.10㎡
        /南        /
          1室1厅1卫        
/
          中楼层                        （12层）",整租·五月华庭 1室1厅 南,6000 元/月,,"官方核验
近地铁
精装"
"精选          /
海淀-马甸-钟表北园
/
        50.80㎡
        /南        /
          2室1厅1卫        
/
          中楼层                        （5层）",整租·钟表北园 2室1厅 南,9030 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"昌平-西三旗-中东路121号院二区
/
        124.00㎡
        /南 北        /
          3室1厅2卫        
/
          低楼层                        （18层）",整租·中东路121号院二区 3室1厅 南/北,8300 元/月,,"官方核验
精装
双卫生间"
"大兴-大兴新机场-御园B区
/
        89.00㎡
        /南 北        /
          2室1厅1卫        
/
          中楼层                        （15层）",整租·御园B区 2室1厅 南/北,2800 元/月,,"官方核验
集中供暖"
"昌平-天通苑-天通苑四区
/
        85.73㎡
        /东 西        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·天通苑四区 2室1厅 东/西,5200 元/月,,"官方核验
集中供暖
随时看房"
"精选          /
朝阳-双井-广渠门外大街路北区
/
        40.28㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·广渠门外大街路北区 2室1厅 南,5500 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"精选          /
朝阳-燕莎-霞光里30号院
/
        39.78㎡
        /南        /
          1室1厅1卫        
/
          低楼层                        （6层）",整租·霞光里30号院 1室1厅 南,6560 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"精选          /
海淀-军博-铁东小区
/
        50.50㎡
        /南        /
          2室1厅1卫        
/
          中楼层                        （6层）",整租·铁东小区 2室1厅 南,7530 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"门头沟-门头沟其它-石泉砖厂B4区
/
        68.00㎡
        /南        /
          2室1厅1卫        
/
          低楼层                        （9层）",整租·石泉砖厂B4区 2室1厅 南,3000 元/月,,"官方核验
集中供暖
随时看房"
"房山-良乡-首创紫悦台
/
        24.88㎡
        /北        /
          2房间1卫        
/
          中楼层                        （17层）",整租·首创紫悦台 2房间 北,2700 元/月,,"官方核验
近地铁
精装
集中供暖"
"门头沟-上岸地铁-远洋新天地
/
        64.00㎡
        /西        /
          3房间1卫        
/
          低楼层                        （18层）",整租·远洋新天地 3房间 西,4600 元/月,,"官方核验
精装
集中供暖
随时看房"
"朝阳-东直门-新源西里东街
/
        52.00㎡
        /南        /
          2室1厅1卫        
/
          中楼层                        （6层）",整租·新源西里东街 2室1厅 南,6800 元/月,,"官方核验
近地铁
集中供暖"
"顺义-顺义其它-旭辉26街区
/
        60.00㎡
        /东        /
          3房间2卫        
/
          低楼层                        （1层）",整租·旭辉26街区 3房间 东,4300 元/月,,"官方核验
近地铁
精装
集中供暖
双卫生间"
"通州-通州其它-首开国风美仑
/
        89.12㎡
        /南 北        /
          3室1厅1卫        
/
          高楼层                        （16层）",整租·首开国风美仑 3室1厅 南/北,5000 元/月,,"官方核验
精装
集中供暖
随时看房"
"丰台-科技园区-首开花香四季
/
        57.00㎡
        /东        /
          1室1厅1卫        
/
          高楼层                        （29层）",整租·首开花香四季 1室1厅 东,5000 元/月,,"官方核验
近地铁
精装
集中供暖
随时看房"
"精选          /
朝阳-常营-常楹公元自由派
/
        37.29㎡
        /西        /
          1室1厅1卫        
/
          中楼层                        （23层）",整租·常楹公元自由派 1室1厅 西,4890 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"西城-牛街-凯迪尚府
/
        49.30㎡
        /北        /
          1室1厅1卫        
/
          中楼层                        （14层）",整租·凯迪尚府 1室1厅 北,7300 元/月,,"官方核验
近地铁
精装"
"精选          /
朝阳-十里堡-十里堡北里
/
        58.71㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·十里堡北里 2室1厅 南,7690 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"朝阳-东大桥-尚都国际中心
/
        184.55㎡
        /东南        /
          1室0厅0卫        
/
          低楼层                        （33层）",整租·尚都国际中心 1室0厅 东南,25261 元/月,,"官方核验
精装
集中供暖
随时看房"
"通州-北关-西潞苑小区
/
        37.00㎡
        /南        /
          1室0厅1卫        
/
          低楼层                        （6层）",整租·西潞苑小区 1室0厅 南,2600 元/月,,"官方核验
集中供暖
随时看房"
"精选          /
西城-马甸-裕中西里
/
        59.90㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·裕中西里 2室1厅 南,8230 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"海淀-皂君庙-皂君东里
/
        61.10㎡
        /南 北        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·皂君东里 2室1厅 南/北,8500 元/月,,"官方核验
精装
集中供暖"
"精选          /
海淀-五棵松-永金里小区
/
        80.01㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·永金里小区 2室1厅 南,7190 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"海淀-田村-西木小区
/
        54.30㎡
        /南 北        /
          2室1厅1卫        
/
          中楼层                        （5层）",整租·西木小区 2室1厅 南/北,6500 元/月,,"官方核验
近地铁
精装
集中供暖"
"精选          /
朝阳-高碑店-富华家园
/
        74.27㎡
        /东        /
          1室1厅1卫        
/
          低楼层                        （22层）",整租·富华家园 1室1厅 东,6390 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"昌平-回龙观-融泽嘉园中路1号院
/
        98.00㎡
        /东 南 北        /
          2室1厅1卫        
/
          高楼层                        （18层）",整租·融泽嘉园中路1号院 2室1厅 东/南/北,7500 元/月,,"官方核验
精装
集中供暖"
"通州-九棵树(家乐福)-蓝调沙龙东区
/
        54.00㎡
        /南        /
          1室0厅1卫        
/
          高楼层                        （5层）",整租·蓝调沙龙东区 1室0厅 南,3800 元/月,,"官方核验
近地铁
精装"
"顺义-顺义其它-炫立方
/
        45.64㎡
        /西        /
          2房间1卫        
/
          中楼层                        （12层）",整租·炫立方 2房间 西,3200 元/月,,"官方核验
集中供暖"
"朝阳-CBD-华贸公寓
/
        83.17㎡
        /西        /
          1室1厅1卫        
/
          高楼层                        （23层）",整租·华贸公寓 1室1厅 西,15800 元/月,,"官方核验
精装
集中供暖"
"海淀-五道口-龙湖唐宁one
/
        50.00㎡
        /北        /
          1房间1卫        
/
          中楼层                        （29层）",整租·龙湖唐宁one 1房间 北,8600 元/月,,"官方核验
近地铁
精装
集中供暖"
"精选          /
朝阳-大望路-后现代城D区
/
        71.72㎡
        /北        /
          2室1厅1卫        
/
          低楼层                        （28层）",整租·后现代城D区 2室1厅 北,9490 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"丰台-青塔-万科紫苑
/
        91.00㎡
        /南 北        /
          3室1厅1卫        
/
          中楼层                        （9层）",整租·万科紫苑 3室1厅 南/北,7600 元/月,,"官方核验
近地铁
精装
集中供暖
随时看房"
"密云-鼓楼街道-行宫南区
/
        78.16㎡
        /南 北        /
          1室1厅1卫        
/
          高楼层                        （7层）",整租·行宫南区 1室1厅 南/北,1950 元/月,,"官方核验
集中供暖
随时看房"
"大兴-亦庄开发区其它-北京城建海梓府
/
        83.00㎡
        /南 北        /
          2室1厅1卫        
/
          中楼层                        （8层）",整租·北京城建海梓府 2室1厅 南/北,7350 元/月,,"官方核验
精装
集中供暖
随时看房"
"朝阳-双桥-双桥嘉园
/
        66.25㎡
        /西南        /
          2室1厅1卫        
/
          高楼层                        （23层）",整租·双桥嘉园 2室1厅 西南,4000 元/月,,"官方核验
精装
集中供暖
随时看房"
"海淀-苏州桥-苏州街77号院
/
        53.10㎡
        /南 北        /
          2室1厅1卫        
/
          低楼层                        （6层）",整租·苏州街77号院 2室1厅 南/北,8000 元/月,,"官方核验
精装
集中供暖"
"东城-前门-前门东大街
/
        69.00㎡
        /南 北        /
          3室1厅1卫        
/
          高楼层                        （10层）",整租·前门东大街 3室1厅 南/北,11000 元/月,,"官方核验
业主自荐
近地铁
集中供暖"
"精选          /
昌平-北七家-龙冠冠华苑
/
        89.28㎡
        /南        /
          2室1厅1卫        
/
          低楼层                        （21层）",整租·龙冠冠华苑 2室1厅 南,4860 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
